GO:0000304	Fyn
GO:0001782	Cd74
GO:0001782	Dock10
GO:0001782	Dock11
GO:0001782	Enpp1
GO:0001782	Foxp3
GO:0001782	Gapt
GO:0001782	Hif1a
GO:0001782	Ikbkb
GO:0001782	Ikbkg
GO:0001782	Il7r
GO:0001782	Lyn
GO:0001782	Mef2c
GO:0001782	Mif
GO:0001782	Nckap1l
GO:0001782	Pik3cd
GO:0001782	Pirb
GO:0001782	Pkn1
GO:0001782	Ppp2r3c
GO:0001782	Rc3h1
GO:0001782	Rc3h2
GO:0001782	Sash3
GO:0001782	Sh2b2
GO:0001782	Sos1
GO:0001782	Sos2
GO:0001782	Spns2
GO:0001782	Tnfaip3
GO:0001782	Tnfrsf13b
GO:0001782	Tnfrsf13c
GO:0001782	Tnfsf13b
GO:0001782	Traf3ip2
GO:0001782	Vpreb1a
GO:0001782	Vpreb1b
GO:0001783	Ada
GO:0001783	Aurkb
GO:0001783	Bak1
GO:0001783	Bax
GO:0001783	Bcl10
GO:0001783	Bcl2
GO:0001783	Bcl2a1a
GO:0001783	Cd24a
GO:0001783	Cd44
GO:0001783	Cd74
GO:0001783	Crkl
GO:0001783	Fnip1
GO:0001783	Foxp1
GO:0001783	Hsh2d
GO:0001783	Il10
GO:0001783	Il2
GO:0001783	Il21
GO:0001783	Il3
GO:0001783	Irs2
GO:0001783	Lyn
GO:0001783	Mif
GO:0001783	Mir106a
GO:0001783	Mir106b
GO:0001783	Mir17
GO:0001783	Mir18
GO:0001783	Mir18b
GO:0001783	Mir19a
GO:0001783	Mir19b-1
GO:0001783	Mir19b-2
GO:0001783	Mir20a
GO:0001783	Mir20b
GO:0001783	Mir25
GO:0001783	Mir363
GO:0001783	Mir92-1
GO:0001783	Mir92-2
GO:0001783	Mir93
GO:0001783	Myc
GO:0001783	Nfkbiz
GO:0001783	Noc2l
GO:0001783	Ormdl3
GO:0001783	Pdcd1
GO:0001783	Pkn1
GO:0001783	Pten
GO:0001783	Slc39a10
GO:0001783	Tnfrsf21
GO:0001783	Traf3ip2
GO:0001788	Fcgr1
GO:0001788	Fcgr3
GO:0001788	Ighg1
GO:0001788	Ighg2a
GO:0001798	C3
GO:0001798	Fcer1g
GO:0001798	Fcgr1
GO:0001798	Fcgr3
GO:0001798	Igh-8
GO:0001798	Ighg1
GO:0001798	Ighg2a
GO:0001798	Ighg2b
GO:0001805	Btk
GO:0001805	Fcer1g
GO:0001805	Fcgr1
GO:0001805	Fcgr3
GO:0001806	Ephb6
GO:0001806	Fut7
GO:0001806	Il20rb
GO:0001806	Spn
GO:0001806	Zp3
GO:0001807	Fut7
GO:0001807	Il20rb
GO:0001807	Spn
GO:0001807	Zp3
GO:0001808	Il20rb
GO:0001808	Spn
GO:0001809	Zp3
GO:0001811	Fcgr2b
GO:0001812	Btk
GO:0001812	Fcer1a
GO:0001812	Fcer1g
GO:0001812	Fcgr3
GO:0001812	Igh-7
GO:0001812	Ighg1
GO:0001812	Ighg2a
GO:0001812	Ighg2b
GO:0001820	Cd300a
GO:0001820	Fcer1a
GO:0001820	Fcgr3
GO:0001820	Igh-7
GO:0001820	Syk
GO:0001846	Clec7a
GO:0001846	Itgam
GO:0001846	Itgav
GO:0001865	Ap3b1
GO:0001865	Ap3d1
GO:0001865	Atf2
GO:0001865	Cd1d1
GO:0001865	Itk
GO:0001865	Prdm1
GO:0001865	Psap
GO:0001865	Tgfbr2
GO:0001865	Tox
GO:0001865	Traj18
GO:0001865	Txk
GO:0001865	Zbtb16
GO:0001865	Zbtb7b
GO:0001865	Zfp683
GO:0001866	Elf4
GO:0001866	Il12a
GO:0001866	Il12b
GO:0001866	Il12rb1
GO:0001866	Il12rb2
GO:0001866	Il15
GO:0001866	Il18
GO:0001866	Il23a
GO:0001866	Il23r
GO:0001866	Jak2
GO:0001866	Myc
GO:0001866	Rasal3
GO:0001866	Tyk2
GO:0001866	Zbtb7b
GO:0001867	Colec10
GO:0001867	Colec11
GO:0001867	Fcnb
GO:0001867	Krt1
GO:0001867	Masp1
GO:0001867	Masp2
GO:0001867	Mbl1
GO:0001867	Mbl2
GO:0001874	Clec7a
GO:0001875	Cd14
GO:0001875	Ly96
GO:0001875	Ptafr
GO:0001875	Scarb1
GO:0001875	Tlr4
GO:0001909	Ccl2
GO:0001909	Ncf1
GO:0001909	Stxbp2
GO:0001912	Ccl2
GO:0001913	2410137M14Rik
GO:0001913	Ager
GO:0001913	B2m
GO:0001913	Cd1d1
GO:0001913	Cd1d2
GO:0001913	Ctsc
GO:0001913	Ctsh
GO:0001913	Cyrib
GO:0001913	Ebag9
GO:0001913	Emp2
GO:0001913	Fadd
GO:0001913	Gfus
GO:0001913	Gm11127
GO:0001913	Gm7030
GO:0001913	Gm8909
GO:0001913	Gzmb
GO:0001913	Gzmm
GO:0001913	H2-Bl
GO:0001913	H2-D1
GO:0001913	H2-K1
GO:0001913	H2-L
GO:0001913	H2-M1
GO:0001913	H2-M10.1
GO:0001913	H2-M10.2
GO:0001913	H2-M10.3
GO:0001913	H2-M10.4
GO:0001913	H2-M10.5
GO:0001913	H2-M10.6
GO:0001913	H2-M11
GO:0001913	H2-M2
GO:0001913	H2-M3
GO:0001913	H2-M5
GO:0001913	H2-M9
GO:0001913	H2-Q1
GO:0001913	H2-Q10
GO:0001913	H2-Q2
GO:0001913	H2-Q4
GO:0001913	H2-Q6
GO:0001913	H2-Q7
GO:0001913	H2-Q8
GO:0001913	H2-Q9
GO:0001913	H2-T10
GO:0001913	H2-T22
GO:0001913	H2-T23
GO:0001913	H2-T24
GO:0001913	H2-T3
GO:0001913	H60b
GO:0001913	H60c
GO:0001913	Hfe
GO:0001913	Hprt
GO:0001913	Il12a
GO:0001913	Il12b
GO:0001913	Il23a
GO:0001913	Il7r
GO:0001913	Klrd1
GO:0001913	Mill1
GO:0001913	Mill2
GO:0001913	Mr1
GO:0001913	Muc4
GO:0001913	Nckap1l
GO:0001913	Nectin2
GO:0001913	P2rx7
GO:0001913	Pnp
GO:0001913	Ppp3cb
GO:0001913	Prf1
GO:0001913	Ptprc
GO:0001913	Pvr
GO:0001913	Rab27a
GO:0001913	Raet1a
GO:0001913	Raet1b
GO:0001913	Raet1c
GO:0001913	Raet1d
GO:0001913	Raet1e
GO:0001913	Ripk3
GO:0001913	Serpinb9
GO:0001913	Serpinb9b
GO:0001913	Slc22a13
GO:0001913	Stx11
GO:0001913	Stx7
GO:0001913	Tap2
GO:0001913	Ulbp1
GO:0001914	2410137M14Rik
GO:0001914	Ager
GO:0001914	B2m
GO:0001914	Cd1d1
GO:0001914	Cd1d2
GO:0001914	Cyrib
GO:0001914	Fadd
GO:0001914	Gm11127
GO:0001914	Gm7030
GO:0001914	Gm8909
GO:0001914	H2-Bl
GO:0001914	H2-D1
GO:0001914	H2-K1
GO:0001914	H2-L
GO:0001914	H2-M1
GO:0001914	H2-M10.1
GO:0001914	H2-M10.2
GO:0001914	H2-M10.3
GO:0001914	H2-M10.4
GO:0001914	H2-M10.5
GO:0001914	H2-M10.6
GO:0001914	H2-M11
GO:0001914	H2-M2
GO:0001914	H2-M3
GO:0001914	H2-M5
GO:0001914	H2-M9
GO:0001914	H2-Q1
GO:0001914	H2-Q10
GO:0001914	H2-Q2
GO:0001914	H2-Q4
GO:0001914	H2-Q6
GO:0001914	H2-Q7
GO:0001914	H2-Q8
GO:0001914	H2-Q9
GO:0001914	H2-T10
GO:0001914	H2-T22
GO:0001914	H2-T23
GO:0001914	H2-T24
GO:0001914	H2-T3
GO:0001914	H60b
GO:0001914	H60c
GO:0001914	Hfe
GO:0001914	Il12a
GO:0001914	Il12b
GO:0001914	Il23a
GO:0001914	Il7r
GO:0001914	Klrd1
GO:0001914	Mill1
GO:0001914	Mill2
GO:0001914	Mr1
GO:0001914	Muc4
GO:0001914	Nckap1l
GO:0001914	Nectin2
GO:0001914	P2rx7
GO:0001914	Pnp
GO:0001914	Ppp3cb
GO:0001914	Ptprc
GO:0001914	Pvr
GO:0001914	Raet1a
GO:0001914	Raet1b
GO:0001914	Raet1c
GO:0001914	Raet1d
GO:0001914	Raet1e
GO:0001914	Ripk3
GO:0001914	Slc22a13
GO:0001914	Stx7
GO:0001914	Tap2
GO:0001914	Ulbp1
GO:0001915	Il7r
GO:0001915	Klrd1
GO:0001915	Muc4
GO:0001915	Nckap1l
GO:0001915	Ppp3cb
GO:0001915	Ptprc
GO:0001916	2410137M14Rik
GO:0001916	B2m
GO:0001916	Cd1d1
GO:0001916	Cd1d2
GO:0001916	Cyrib
GO:0001916	Fadd
GO:0001916	Gm11127
GO:0001916	Gm7030
GO:0001916	Gm8909
GO:0001916	H2-Bl
GO:0001916	H2-D1
GO:0001916	H2-K1
GO:0001916	H2-L
GO:0001916	H2-M1
GO:0001916	H2-M10.1
GO:0001916	H2-M10.2
GO:0001916	H2-M10.3
GO:0001916	H2-M10.4
GO:0001916	H2-M10.5
GO:0001916	H2-M10.6
GO:0001916	H2-M11
GO:0001916	H2-M2
GO:0001916	H2-M3
GO:0001916	H2-M5
GO:0001916	H2-M9
GO:0001916	H2-Q1
GO:0001916	H2-Q10
GO:0001916	H2-Q2
GO:0001916	H2-Q4
GO:0001916	H2-Q6
GO:0001916	H2-Q7
GO:0001916	H2-Q8
GO:0001916	H2-Q9
GO:0001916	H2-T10
GO:0001916	H2-T22
GO:0001916	H2-T23
GO:0001916	H2-T24
GO:0001916	H2-T3
GO:0001916	H60b
GO:0001916	H60c
GO:0001916	Hfe
GO:0001916	Il12a
GO:0001916	Il12b
GO:0001916	Il23a
GO:0001916	Mill1
GO:0001916	Mill2
GO:0001916	Mr1
GO:0001916	Nectin2
GO:0001916	P2rx7
GO:0001916	Pnp
GO:0001916	Ptprc
GO:0001916	Pvr
GO:0001916	Raet1a
GO:0001916	Raet1b
GO:0001916	Raet1c
GO:0001916	Raet1d
GO:0001916	Raet1e
GO:0001916	Slc22a13
GO:0001916	Stx7
GO:0001916	Tap2
GO:0001916	Ulbp1
GO:0001922	Abl1
GO:0001922	Ahr
GO:0001922	Enpp1
GO:0001922	Hif1a
GO:0001922	Sh2b2
GO:0001922	Tnfaip3
GO:0001923	Cd19
GO:0001923	Cmtm7
GO:0001923	Dpp4
GO:0001923	Malt1
GO:0001923	Nfatc1
GO:0001923	Plcl2
GO:0001923	Slamf8
GO:0001935	Apc
GO:0001935	Apoa1
GO:0001935	Bmpr2
GO:0001935	Cav1
GO:0001935	Cav2
GO:0001935	Cd34
GO:0001935	Dlg1
GO:0001935	Ern1
GO:0001935	Fgf10
GO:0001935	Fgf2
GO:0001935	Fgf7
GO:0001935	Fgfr3
GO:0001935	Hmgb1
GO:0001935	Loxl2
GO:0001935	Nf1
GO:0001935	Nppb
GO:0001935	Nrarp
GO:0001935	Pdgfb
GO:0001935	Pik3cb
GO:0001935	Prkx
GO:0001935	Prok2
GO:0001935	Scarb1
GO:0001935	Tek
GO:0001935	Tgfbr1
GO:0001935	Thap1
GO:0001935	Vegfa
GO:0001935	Vstm4
GO:0001935	Xbp1
GO:0001945	Acvr2b
GO:0001945	Acvrl1
GO:0001945	Bmpr2
GO:0001945	Ccbe1
GO:0001945	Clec14a
GO:0001945	Efnb2
GO:0001945	Epha2
GO:0001945	Fgf2
GO:0001945	Flt4
GO:0001945	Foxc1
GO:0001945	Foxc2
GO:0001945	Heg1
GO:0001945	Kdr
GO:0001945	Lgals8
GO:0001945	Nfatc1
GO:0001945	Ngp
GO:0001945	Npr2
GO:0001945	Nr2f2
GO:0001945	Pdpn
GO:0001945	Pkd1
GO:0001945	Ppp3cb
GO:0001945	Prox1
GO:0001945	Ptpn14
GO:0001945	Sox18
GO:0001945	Svep1
GO:0001945	Syk
GO:0001945	Tbx1
GO:0001945	Tie1
GO:0001945	Tmem204
GO:0001945	Vash1
GO:0001945	Vegfa
GO:0001945	Vegfc
GO:0001946	Acvr2b
GO:0001946	Acvrl1
GO:0001946	Bmpr2
GO:0001946	Ccbe1
GO:0001946	Clec14a
GO:0001946	Epha2
GO:0001946	Flt4
GO:0001946	Foxc1
GO:0001946	Foxc2
GO:0001946	Nfatc1
GO:0001946	Ngp
GO:0001946	Pdpn
GO:0001946	Pkd1
GO:0001946	Ppp3cb
GO:0001946	Prox1
GO:0001946	Ptpn14
GO:0001946	Sox18
GO:0001946	Tie1
GO:0001946	Vash1
GO:0001946	Vegfa
GO:0001946	Vegfc
GO:0002096	Bcl10
GO:0002096	Malt1
GO:0002158	Csf1
GO:0002158	Junb
GO:0002158	Nfix
GO:0002158	Npr3
GO:0002158	Tcirg1
GO:0002158	Tnfsf11
GO:0002204	Mlh1
GO:0002204	Msh2
GO:0002208	Mad2l2
GO:0002208	Mlh1
GO:0002208	Msh2
GO:0002208	Shld1
GO:0002208	Shld2
GO:0002208	Shld3
GO:0002218	Aim2
GO:0002218	Casp6
GO:0002218	Cgas
GO:0002218	Hexim1
GO:0002218	Hmgb1
GO:0002218	Hsp90aa1
GO:0002218	Ifi202a
GO:0002218	Ifi203
GO:0002218	Ifi204
GO:0002218	Ifi205
GO:0002218	Ifi206
GO:0002218	Ifi207
GO:0002218	Ifi208
GO:0002218	Ifi209
GO:0002218	Ifi211
GO:0002218	Ifi213
GO:0002218	Ifi214
GO:0002218	Matr3
GO:0002218	Mavs
GO:0002218	Mndal
GO:0002218	Nlrc4
GO:0002218	Nono
GO:0002218	Pqbp1
GO:0002218	Prkdc
GO:0002218	Pspc1
GO:0002218	Pycard
GO:0002218	Sfpq
GO:0002218	Sin3a
GO:0002218	Sting1
GO:0002218	Tbk1
GO:0002218	Tlr4
GO:0002218	Tlr9
GO:0002218	Tomm70a
GO:0002218	Trim12a
GO:0002218	Trim12c
GO:0002218	Trim30a
GO:0002218	Trim30b
GO:0002218	Trim30c
GO:0002218	Trim30d
GO:0002218	Trim5
GO:0002218	Xrcc5
GO:0002218	Xrcc6
GO:0002218	Zbp1
GO:0002218	Zcchc3
GO:0002218	Znfx1
GO:0002224	Ap3b1
GO:0002224	Bcl10
GO:0002224	Cd180
GO:0002224	Cd300lf
GO:0002224	Cd40
GO:0002224	Cd86
GO:0002224	Hspd1
GO:0002224	Irak2
GO:0002224	Irak3
GO:0002224	Irf3
GO:0002224	Lrrc19
GO:0002224	Lrrfip2
GO:0002224	Ly96
GO:0002224	Mapkapk2
GO:0002224	Mapkapk3
GO:0002224	Myd88
GO:0002224	Nfkbiz
GO:0002224	Plcg2
GO:0002224	Prkce
GO:0002224	Ptgs2os
GO:0002224	Rab11fip2
GO:0002224	Reg3g
GO:0002224	Rps6ka3
GO:0002224	Ticam1
GO:0002224	Ticam2
GO:0002224	Tirap
GO:0002224	Tlr1
GO:0002224	Tlr11
GO:0002224	Tlr12
GO:0002224	Tlr13
GO:0002224	Tlr2
GO:0002224	Tlr3
GO:0002224	Tlr4
GO:0002224	Tlr5
GO:0002224	Tlr6
GO:0002224	Tlr7
GO:0002224	Tlr8
GO:0002224	Tlr9
GO:0002224	Tnip1
GO:0002224	Tnip3
GO:0002224	Traf3
GO:0002224	Unc93b1
GO:0002227	Apoa4
GO:0002227	AY761185
GO:0002227	Bpifb1
GO:0002227	Camp
GO:0002227	Defa1
GO:0002227	Defa10
GO:0002227	Defa11
GO:0002227	Defa13
GO:0002227	Defa14
GO:0002227	Defa15
GO:0002227	Defa16
GO:0002227	Defa17
GO:0002227	Defa2
GO:0002227	Defa20
GO:0002227	Defa21
GO:0002227	Defa22
GO:0002227	Defa23
GO:0002227	Defa24
GO:0002227	Defa25
GO:0002227	Defa26
GO:0002227	Defa27
GO:0002227	Defa28
GO:0002227	Defa29
GO:0002227	Defa3
GO:0002227	Defa30
GO:0002227	Defa31
GO:0002227	Defa34
GO:0002227	Defa35
GO:0002227	Defa37
GO:0002227	Defa38
GO:0002227	Defa39
GO:0002227	Defa4
GO:0002227	Defa40
GO:0002227	Defa41
GO:0002227	Defa42
GO:0002227	Defa5
GO:0002227	Defa6
GO:0002227	Defa7
GO:0002227	Defa8
GO:0002227	Defa9
GO:0002227	Defa-rs10
GO:0002227	Defa-rs12
GO:0002227	Defa-rs2
GO:0002227	Defb1
GO:0002227	Defb10
GO:0002227	Defb11
GO:0002227	Defb2
GO:0002227	Defb37
GO:0002227	Defb38
GO:0002227	Defb39
GO:0002227	Defb40
GO:0002227	Defb9
GO:0002227	Ear1
GO:0002227	Ear10
GO:0002227	Ear14
GO:0002227	Ear2
GO:0002227	Ear3
GO:0002227	Ear4
GO:0002227	Ear6
GO:0002227	Fau
GO:0002227	H2bc12
GO:0002227	H2bc21
GO:0002227	Il4
GO:0002227	Ltf
GO:0002227	Nod2
GO:0002227	Pla2g1b
GO:0002227	Rnase2a
GO:0002227	Rnase2b
GO:0002227	Rpl39
GO:0002228	Cd160
GO:0002228	Dpp4
GO:0002228	Klrd1
GO:0002228	Sh2d1b1
GO:0002230	Aim2
GO:0002230	Ccl5
GO:0002230	Cgas
GO:0002230	Creb3
GO:0002230	Dtx3l
GO:0002230	Eif2ak4
GO:0002230	Ercc6
GO:0002230	Hsp90aa1
GO:0002230	Il12b
GO:0002230	Il12rb1
GO:0002230	Il23a
GO:0002230	Il23r
GO:0002230	Il27
GO:0002230	Il4
GO:0002230	Mavs
GO:0002230	Parp9
GO:0002230	Pml
GO:0002230	Pqbp1
GO:0002230	Ptpn22
GO:0002230	Pycard
GO:0002230	Rigi
GO:0002230	Selenok
GO:0002230	Sin3a
GO:0002230	Stat1
GO:0002230	Sting1
GO:0002230	Tomm70a
GO:0002230	Traf3ip2
GO:0002230	Treml4
GO:0002230	Trim44
GO:0002230	Trim6
GO:0002230	Zc3h12a
GO:0002230	Zdhhc1
GO:0002230	Zdhhc11
GO:0002232	Alox5
GO:0002232	Ffar2
GO:0002232	Lbp
GO:0002232	Mdk
GO:0002232	Ninj1
GO:0002232	Ptn
GO:0002232	Slamf1
GO:0002232	Slamf8
GO:0002244	3830403N18Rik
GO:0002244	4930430F08Rik
GO:0002244	4930474N05Rik
GO:0002244	Abca15
GO:0002244	Acp6
GO:0002244	Adar
GO:0002244	Agpat5
GO:0002244	Ankle1
GO:0002244	Anln
GO:0002244	Ap3b1
GO:0002244	Apobec3
GO:0002244	Arhgef7
GO:0002244	Arl11
GO:0002244	Armc6
GO:0002244	Atf2
GO:0002244	Atf7
GO:0002244	Batf
GO:0002244	Bcl2
GO:0002244	Bmp4
GO:0002244	Bves
GO:0002244	Cdk6
GO:0002244	Cebpd
GO:0002244	Ciao3
GO:0002244	Cited2
GO:0002244	Col24a1
GO:0002244	Cyp2c66
GO:0002244	Dact2
GO:0002244	Dhtkd1
GO:0002244	Dnai4
GO:0002244	Dock1
GO:0002244	Dock7
GO:0002244	Eef2
GO:0002244	Eml1
GO:0002244	Esco2
GO:0002244	Ext1
GO:0002244	Flcn
GO:0002244	Flt3
GO:0002244	Fnip1
GO:0002244	Fst
GO:0002244	Fstl3
GO:0002244	Gata2
GO:0002244	Gata3
GO:0002244	Gm36723
GO:0002244	Gpatch4
GO:0002244	Heatr9
GO:0002244	Herc6
GO:0002244	Hes1
GO:0002244	Hes5
GO:0002244	Hoxb3
GO:0002244	Hrnr
GO:0002244	Hyal2
GO:0002244	Il3
GO:0002244	Inhba
GO:0002244	Kcnab2
GO:0002244	Kcp
GO:0002244	Kit
GO:0002244	Kitl
GO:0002244	Krt75
GO:0002244	Krtap5-5
GO:0002244	Lig4
GO:0002244	Lyn
GO:0002244	Mixl1
GO:0002244	Mmp21
GO:0002244	Mrgprx1
GO:0002244	Muc19
GO:0002244	Muc4
GO:0002244	Notch1
GO:0002244	Nudt21
GO:0002244	Pcid2
GO:0002244	Pdgfra
GO:0002244	Pld4
GO:0002244	Ppp4r2
GO:0002244	Prkdc
GO:0002244	Prrc2c
GO:0002244	Psen1
GO:0002244	Psen2
GO:0002244	Ptpn6
GO:0002244	Ptprc
GO:0002244	Ptprq
GO:0002244	Ptprz1
GO:0002244	Pygo1
GO:0002244	Rbm47
GO:0002244	Rbmy
GO:0002244	Rest
GO:0002244	Rrs1
GO:0002244	Samd9l
GO:0002244	Sbds
GO:0002244	Serpinb12
GO:0002244	Serpinb9f
GO:0002244	Sfrp1
GO:0002244	Shh
GO:0002244	Siglecg
GO:0002244	Sin3a
GO:0002244	Sipa1l3
GO:0002244	Sirpa
GO:0002244	Slc7a6os
GO:0002244	Slc8a3
GO:0002244	Smpd3
GO:0002244	Sos1
GO:0002244	Sos2
GO:0002244	Sox4
GO:0002244	Spi1
GO:0002244	Srsf4
GO:0002244	Ssbp3
GO:0002244	Ston2
GO:0002244	Tcaf2
GO:0002244	Tent2
GO:0002244	Tgfb1
GO:0002244	Thsd1
GO:0002244	Tifab
GO:0002244	Tmem143
GO:0002244	Tmem190
GO:0002244	Tmem91
GO:0002244	Tnfrsf13b
GO:0002244	Top2a
GO:0002244	Trex1
GO:0002244	Trp53
GO:0002244	Vmn1r13
GO:0002244	Vmn1r214
GO:0002244	Vmn2r74
GO:0002244	Wdr38
GO:0002244	Wdr7
GO:0002244	Xrcc4
GO:0002244	Zbtb1
GO:0002244	Zbtb24
GO:0002244	Zfat
GO:0002244	Zfp784
GO:0002244	Zfp980
GO:0002244	Znhit1
GO:0002244	Zswim9
GO:0002246	Abi3bp
GO:0002246	Ccr2
GO:0002246	Cd44
GO:0002246	Clec10a
GO:0002246	F2r
GO:0002246	Hif1a
GO:0002246	Hmox1
GO:0002246	Il1a
GO:0002246	Pparg
GO:0002246	Timp1
GO:0002246	Tlr4
GO:0002248	Abi3bp
GO:0002248	Clec10a
GO:0002248	F2r
GO:0002248	Hif1a
GO:0002248	Il1a
GO:0002248	Pparg
GO:0002248	Timp1
GO:0002250	6030468B19Rik
GO:0002250	Adcy7
GO:0002250	Adgre1
GO:0002250	Ahr
GO:0002250	Akirin2
GO:0002250	Alcam
GO:0002250	Alox15
GO:0002250	Anxa1
GO:0002250	Arg1
GO:0002250	Arg2
GO:0002250	Arid5a
GO:0002250	B2m
GO:0002250	Bach2
GO:0002250	Bcl10
GO:0002250	Bcl3
GO:0002250	Bmx
GO:0002250	Btk
GO:0002250	Btla
GO:0002250	C1qa
GO:0002250	C1qb
GO:0002250	C1qbp
GO:0002250	C1qc
GO:0002250	C1ra
GO:0002250	C1rb
GO:0002250	C1rl
GO:0002250	C1s1
GO:0002250	C1s2
GO:0002250	C2
GO:0002250	C3
GO:0002250	C4b
GO:0002250	C4bp
GO:0002250	C8a
GO:0002250	C8b
GO:0002250	C8g
GO:0002250	C9
GO:0002250	Camk4
GO:0002250	Card9
GO:0002250	Ccr2
GO:0002250	Cd160
GO:0002250	Cd19
GO:0002250	Cd226
GO:0002250	Cd244a
GO:0002250	Cd247
