GO:0000304	response to singlet oxygen
GO:0002566	somatic diversification of immune receptors via somatic mutation
GO:0002572	pro-T cell differentiation
GO:0002573	myeloid leukocyte differentiation
GO:0002575	basophil chemotaxis
GO:0002605	negative regulation of dendritic cell antigen processing and presentation
GO:0002606	positive regulation of dendritic cell antigen processing and presentation
GO:0002617	negative regulation of macrophage antigen processing and presentation
GO:0002625	regulation of T cell antigen processing and presentation
GO:0002626	negative regulation of T cell antigen processing and presentation
GO:0002652	regulation of tolerance induction dependent upon immune response
GO:0002663	positive regulation of B cell tolerance induction
GO:0002664	regulation of T cell tolerance induction
GO:0002666	positive regulation of T cell tolerance induction
GO:0002667	regulation of T cell anergy
GO:0002668	negative regulation of T cell anergy
GO:0002669	positive regulation of T cell anergy
GO:0002673	regulation of acute inflammatory response
GO:0002674	negative regulation of acute inflammatory response
GO:0002675	positive regulation of acute inflammatory response
GO:0002677	negative regulation of chronic inflammatory response
GO:0002678	positive regulation of chronic inflammatory response
GO:0002682	regulation of immune system process
GO:0002683	negative regulation of immune system process
GO:0002684	positive regulation of immune system process
GO:0002685	regulation of leukocyte migration
GO:0002686	negative regulation of leukocyte migration
GO:0002687	positive regulation of leukocyte migration
GO:0002688	regulation of leukocyte chemotaxis
GO:0002689	negative regulation of leukocyte chemotaxis
GO:0002690	positive regulation of leukocyte chemotaxis
GO:0002695	negative regulation of leukocyte activation
GO:0002696	positive regulation of leukocyte activation
GO:0002699	positive regulation of immune effector process
GO:0002709	regulation of T cell mediated immunity
GO:0002710	negative regulation of T cell mediated immunity
GO:0002711	positive regulation of T cell mediated immunity
GO:0002717	positive regulation of natural killer cell mediated immunity
GO:0002718	regulation of cytokine production involved in immune response
GO:0002719	negative regulation of cytokine production involved in immune response
GO:0002720	positive regulation of cytokine production involved in immune response
GO:0002724	regulation of T cell cytokine production
GO:0002725	negative regulation of T cell cytokine production
GO:0002726	positive regulation of T cell cytokine production
GO:0002730	regulation of dendritic cell cytokine production
GO:0002731	negative regulation of dendritic cell cytokine production
GO:0002732	positive regulation of dendritic cell cytokine production
GO:0002735	positive regulation of myeloid dendritic cell cytokine production
GO:0002737	negative regulation of plasmacytoid dendritic cell cytokine production
GO:0002755	MyD88-dependent toll-like receptor signaling pathway
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0002757	immune response-activating signaling pathway
GO:0002758	innate immune response-activating signaling pathway
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0002762	negative regulation of myeloid leukocyte differentiation
GO:0002763	positive regulation of myeloid leukocyte differentiation
GO:0002764	immune response-regulating signaling pathway
GO:0002765	immune response-inhibiting signal transduction
GO:0002768	immune response-regulating cell surface receptor signaling pathway
GO:0002769	natural killer cell inhibitory signaling pathway
GO:0002774	Fc receptor mediated inhibitory signaling pathway
GO:0002819	regulation of adaptive immune response
GO:0002820	negative regulation of adaptive immune response
GO:0002821	positive regulation of adaptive immune response
GO:0002826	negative regulation of T-helper 1 type immune response
GO:0002827	positive regulation of T-helper 1 type immune response
GO:0002828	regulation of type 2 immune response
GO:0002829	negative regulation of type 2 immune response
GO:0002830	positive regulation of type 2 immune response
GO:0002838	negative regulation of immune response to tumor cell
GO:0002839	positive regulation of immune response to tumor cell
GO:0002840	regulation of T cell mediated immune response to tumor cell
GO:0002841	negative regulation of T cell mediated immune response to tumor cell
GO:0002842	positive regulation of T cell mediated immune response to tumor cell
GO:0002851	positive regulation of peripheral T cell tolerance induction
GO:0002853	negative regulation of T cell mediated cytotoxicity directed against tumor cell target
GO:0002854	positive regulation of T cell mediated cytotoxicity directed against tumor cell target
GO:0002857	positive regulation of natural killer cell mediated immune response to tumor cell
GO:0002862	negative regulation of inflammatory response to antigenic stimulus
GO:0002863	positive regulation of inflammatory response to antigenic stimulus
GO:0002864	regulation of acute inflammatory response to antigenic stimulus
GO:0002865	negative regulation of acute inflammatory response to antigenic stimulus
GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus
GO:0002870	T cell anergy
GO:0002875	negative regulation of chronic inflammatory response to antigenic stimulus
GO:0002876	positive regulation of chronic inflammatory response to antigenic stimulus
GO:0002878	negative regulation of acute inflammatory response to non-antigenic stimulus
GO:0002879	positive regulation of acute inflammatory response to non-antigenic stimulus
GO:0002881	negative regulation of chronic inflammatory response to non-antigenic stimulus
GO:0002882	positive regulation of chronic inflammatory response to non-antigenic stimulus
GO:0002891	positive regulation of immunoglobulin mediated immune response
GO:0002897	positive regulation of central B cell tolerance induction
GO:0002901	mature B cell apoptotic process
GO:0002902	regulation of B cell apoptotic process
GO:0002903	negative regulation of B cell apoptotic process
GO:0002904	positive regulation of B cell apoptotic process
GO:0002906	negative regulation of mature B cell apoptotic process
GO:0002920	regulation of humoral immune response
GO:0002922	positive regulation of humoral immune response
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin
GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin
GO:0002925	positive regulation of humoral immune response mediated by circulating immunoglobulin
GO:0003017	lymph circulation
GO:0003158	endothelium development
GO:0003309	type B pancreatic cell differentiation
GO:0003323	type B pancreatic cell development
GO:0003327	type B pancreatic cell fate commitment
GO:0003823	antigen binding
GO:0004601	peroxidase activity
GO:0004908	interleukin-1 receptor activity
GO:0004950	chemokine receptor activity
GO:0005011	macrophage colony-stimulating factor receptor activity
GO:0005020	stem cell factor receptor activity
GO:0005021	vascular endothelial growth factor receptor activity
GO:0005031	tumor necrosis factor receptor activity
GO:0005044	scavenger receptor activity
GO:0005129	granulocyte macrophage colony-stimulating factor receptor binding
GO:0005157	macrophage colony-stimulating factor receptor binding
GO:0005174	CD40 receptor binding
GO:0005175	CD27 receptor binding
GO:0005652	nuclear lamina
GO:0005895	interleukin-5 receptor complex
GO:0006663	platelet activating factor biosynthetic process
GO:0006734	NADH metabolic process
GO:0006910	phagocytosis, recognition
GO:0006911	phagocytosis, engulfment
GO:0006924	activation-induced cell death of T cells
GO:0006925	inflammatory cell apoptotic process
GO:0006952	defense response
GO:0006953	acute-phase response
GO:0006954	inflammatory response
GO:0006955	immune response
GO:0006956	complement activation
GO:0006957	complement activation, alternative pathway
GO:0006958	complement activation, classical pathway
GO:0006959	humoral immune response
GO:0007159	leukocyte cell-cell adhesion
GO:0008009	chemokine activity
GO:0008211	glucocorticoid metabolic process
GO:0008303	caspase complex
GO:0008626	granzyme-mediated apoptotic signaling pathway
GO:0009435	NAD biosynthetic process
GO:0010224	response to UV-B
GO:0010742	macrophage derived foam cell differentiation
GO:0010744	positive regulation of macrophage derived foam cell differentiation
GO:0010745	negative regulation of macrophage derived foam cell differentiation
GO:0010758	regulation of macrophage chemotaxis
GO:0010759	positive regulation of macrophage chemotaxis
GO:0010760	negative regulation of macrophage chemotaxis
GO:0010818	T cell chemotaxis
GO:0010819	regulation of T cell chemotaxis
GO:0010820	positive regulation of T cell chemotaxis
GO:0010933	positive regulation of macrophage tolerance induction
GO:0010934	macrophage cytokine production
GO:0010935	regulation of macrophage cytokine production
GO:0010936	negative regulation of macrophage cytokine production
GO:0014004	microglia differentiation
GO:0015054	gastrin receptor activity
GO:0015884	folic acid transport
GO:0016019	peptidoglycan immune receptor activity
GO:0016064	immunoglobulin mediated immune response
GO:0016176	superoxide-generating NADPH oxidase activator activity
GO:0016521	pituitary adenylate cyclase activating polypeptide activity
GO:0019674	NAD metabolic process
GO:0019677	NAD catabolic process
GO:0019724	B cell mediated immunity
GO:0019730	antimicrobial humoral response
GO:0019731	antibacterial humoral response
GO:0019732	antifungal humoral response
GO:0019814	immunoglobulin complex
GO:0019815	B cell receptor complex
GO:0019907	cyclin-dependent protein kinase activating kinase holoenzyme complex
GO:0019956	chemokine binding
GO:0030073	insulin secretion
GO:0030097	hemopoiesis
GO:0030098	lymphocyte differentiation
GO:0030099	myeloid cell differentiation
GO:0030107	HLA-A specific inhibitory MHC class I receptor activity
GO:0030108	HLA-A specific activating MHC class I receptor activity
GO:0030109	HLA-B specific inhibitory MHC class I receptor activity
GO:0030183	B cell differentiation
GO:0030217	T cell differentiation
GO:0030221	basophil differentiation
GO:0030222	eosinophil differentiation
GO:0030223	neutrophil differentiation
GO:0030224	monocyte differentiation
GO:0030225	macrophage differentiation
GO:0030315	T-tubule
GO:0030316	osteoclast differentiation
GO:0030369	ICAM-3 receptor activity
GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex
GO:0030593	neutrophil chemotaxis
GO:0030595	leukocyte chemotaxis
GO:0030851	granulocyte differentiation
GO:0030885	regulation of myeloid dendritic cell activation
GO:0030886	negative regulation of myeloid dendritic cell activation
GO:0030887	positive regulation of myeloid dendritic cell activation
GO:0030888	regulation of B cell proliferation
GO:0030889	negative regulation of B cell proliferation
GO:0030890	positive regulation of B cell proliferation
GO:0031295	T cell costimulation
GO:0031296	B cell costimulation
GO:0031663	lipopolysaccharide-mediated signaling pathway
GO:0031724	CXCR5 chemokine receptor binding
GO:0031726	CCR1 chemokine receptor binding
GO:0031727	CCR2 chemokine receptor binding
GO:0031728	CCR3 chemokine receptor binding
GO:0031960	response to corticosteroid
GO:0032217	riboflavin transmembrane transporter activity
GO:0032218	riboflavin transport
GO:0032393	MHC class I receptor activity
GO:0032394	MHC class Ib receptor activity
GO:0032395	MHC class II receptor activity
GO:0032396	inhibitory MHC class I receptor activity
GO:0032397	activating MHC class I receptor activity
GO:0032597	B cell receptor transport into membrane raft
GO:0032602	chemokine production
GO:0032604	granulocyte macrophage colony-stimulating factor production
GO:0032620	interleukin-17 production
GO:0032640	tumor necrosis factor production
GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production
GO:0032685	negative regulation of granulocyte macrophage colony-stimulating factor production
GO:0032700	negative regulation of interleukin-17 production
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production
GO:0032740	positive regulation of interleukin-17 production
GO:0032761	positive regulation of lymphotoxin A production
GO:0032762	mast cell cytokine production
GO:0032764	negative regulation of mast cell cytokine production
GO:0032765	positive regulation of mast cell cytokine production
GO:0032796	uropod organization
GO:0032826	regulation of natural killer cell differentiation involved in immune response
GO:0032827	negative regulation of natural killer cell differentiation involved in immune response
GO:0032829	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0032831	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0032834	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
GO:0032943	mononuclear cell proliferation
GO:0033003	regulation of mast cell activation
GO:0033004	negative regulation of mast cell activation
GO:0033005	positive regulation of mast cell activation
GO:0033007	negative regulation of mast cell activation involved in immune response
GO:0033008	positive regulation of mast cell activation involved in immune response
GO:0033023	mast cell homeostasis
GO:0033024	mast cell apoptotic process
GO:0033025	regulation of mast cell apoptotic process
GO:0033026	negative regulation of mast cell apoptotic process
GO:0033027	positive regulation of mast cell apoptotic process
GO:0033028	myeloid cell apoptotic process
GO:0033029	regulation of neutrophil apoptotic process
GO:0033030	negative regulation of neutrophil apoptotic process
GO:0033031	positive regulation of neutrophil apoptotic process
GO:0033077	T cell differentiation in thymus
GO:0033080	immature T cell proliferation in thymus
GO:0033081	regulation of T cell differentiation in thymus
GO:0033082	regulation of extrathymic T cell differentiation
GO:0033084	regulation of immature T cell proliferation in thymus
GO:0033085	negative regulation of T cell differentiation in thymus
GO:0033087	negative regulation of immature T cell proliferation
GO:0033088	negative regulation of immature T cell proliferation in thymus
GO:0033089	positive regulation of T cell differentiation in thymus
GO:0033092	positive regulation of immature T cell proliferation in thymus
GO:0033093	Weibel-Palade body
GO:0033151	V(D)J recombination
GO:0033153	T cell receptor V(D)J recombination
GO:0033292	T-tubule organization
GO:0033364	mast cell secretory granule organization
GO:0033371	T cell secretory granule organization
GO:0033373	maintenance of protease location in mast cell secretory granule
GO:0033382	maintenance of granzyme B location in T cell secretory granule
GO:0034238	macrophage fusion
GO:0034240	negative regulation of macrophage fusion
GO:0034241	positive regulation of macrophage fusion
GO:0034341	response to type II interferon
GO:0034359	mature chylomicron
GO:0034650	cortisol metabolic process
GO:0034651	cortisol biosynthetic process
GO:0034776	response to histamine
GO:0035270	endocrine system development
GO:0035325	Toll-like receptor binding
GO:0035397	helper T cell enhancement of adaptive immune response
GO:0035455	response to interferon-alpha
GO:0035457	cellular response to interferon-alpha
GO:0035491	positive regulation of leukotriene production involved in inflammatory response
GO:0035577	azurophil granule membrane
GO:0035578	azurophil granule lumen
GO:0035579	specific granule membrane
GO:0035660	MyD88-dependent toll-like receptor 4 signaling pathway
GO:0035662	Toll-like receptor 4 binding
GO:0035663	Toll-like receptor 2 binding
GO:0035665	TIRAP-dependent toll-like receptor 4 signaling pathway
GO:0035666	TRIF-dependent toll-like receptor signaling pathway
GO:0035669	TRAM-dependent toll-like receptor 4 signaling pathway
GO:0035683	memory T cell extravasation
GO:0035684	helper T cell extravasation
GO:0035685	helper T cell diapedesis
GO:0035688	T-helper 1 cell diapedesis
GO:0035691	macrophage migration inhibitory factor signaling pathway
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:0035696	monocyte extravasation
GO:0035701	hematopoietic stem cell migration
GO:0035702	monocyte homeostasis
GO:0035705	T-helper 17 cell chemotaxis
GO:0035709	memory T cell activation
GO:0035710	CD4-positive, alpha-beta T cell activation
GO:0035711	T-helper 1 cell activation
GO:0035712	T-helper 2 cell activation
GO:0035718	macrophage migration inhibitory factor binding
GO:0035739	CD4-positive, alpha-beta T cell proliferation
GO:0035740	CD8-positive, alpha-beta T cell proliferation
GO:0035741	activated CD4-positive, alpha-beta T cell proliferation
GO:0035744	T-helper 1 cell cytokine production
GO:0035745	T-helper 2 cell cytokine production
GO:0035754	B cell chemotaxis
GO:0035769	B cell chemotaxis across high endothelial venule
GO:0035773	insulin secretion involved in cellular response to glucose stimulus
GO:0035780	CD80 biosynthetic process
GO:0035781	CD86 biosynthetic process
GO:0035783	CD4-positive, alpha-beta T cell costimulation
GO:0035853	chromosome passenger complex localization to spindle midzone
GO:0035854	eosinophil fate commitment
GO:0036006	cellular response to macrophage colony-stimulating factor stimulus
GO:0036037	CD8-positive, alpha-beta T cell activation
GO:0036145	dendritic cell homeostasis
GO:0036179	osteoclast maturation
GO:0036303	lymph vessel morphogenesis
GO:0036336	dendritic cell migration
GO:0036339	lymphocyte adhesion to endothelial cell of high endothelial venule
GO:0036371	protein localization to T-tubule
GO:0036398	TCR signalosome
GO:0036505	prosaposin receptor activity
GO:0038002	endocrine signaling
GO:0038097	positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway
GO:0038145	macrophage colony-stimulating factor signaling pathway
GO:0038157	granulocyte-macrophage colony-stimulating factor signaling pathway
GO:0038187	pattern recognition receptor activity
GO:0042088	T-helper 1 type immune response
GO:0042092	type 2 immune response
GO:0042093	T-helper cell differentiation
GO:0042098	T cell proliferation
GO:0042100	B cell proliferation
GO:0042101	T cell receptor complex
GO:0042102	positive regulation of T cell proliferation
GO:0042103	positive regulation of T cell homeostatic proliferation
GO:0042104	positive regulation of activated T cell proliferation
GO:0042105	alpha-beta T cell receptor complex
GO:0042110	T cell activation
GO:0042113	B cell activation
GO:0042116	macrophage activation
GO:0042117	monocyte activation
GO:0042119	neutrophil activation
GO:0042129	regulation of T cell proliferation
GO:0042130	negative regulation of T cell proliferation
GO:0042287	MHC protein binding
GO:0042288	MHC class I protein binding
GO:0042289	MHC class II protein binding
GO:0042492	gamma-delta T cell differentiation
GO:0042571	immunoglobulin complex, circulating
GO:0042581	specific granule
GO:0042582	azurophil granule
GO:0042608	T cell receptor binding
GO:0042609	CD4 receptor binding
GO:0042610	CD8 receptor binding
GO:0042627	chylomicron
GO:0042629	mast cell granule
GO:0043011	myeloid dendritic cell differentiation
GO:0043029	T cell homeostasis
GO:0043030	regulation of macrophage activation
GO:0043031	negative regulation of macrophage activation
GO:0043032	positive regulation of macrophage activation
GO:0043120	tumor necrosis factor binding
GO:0043303	mast cell degranulation
GO:0043304	regulation of mast cell degranulation
GO:0043305	negative regulation of mast cell degranulation
GO:0043306	positive regulation of mast cell degranulation
GO:0043308	eosinophil degranulation
GO:0043310	negative regulation of eosinophil degranulation
GO:0043311	positive regulation of eosinophil degranulation
GO:0043312	neutrophil degranulation
GO:0043313	regulation of neutrophil degranulation
GO:0043314	negative regulation of neutrophil degranulation
GO:0043315	positive regulation of neutrophil degranulation
GO:0043316	cytotoxic T cell degranulation
GO:0043318	negative regulation of cytotoxic T cell degranulation
GO:0043366	beta selection
GO:0043367	CD4-positive, alpha-beta T cell differentiation
GO:0043368	positive T cell selection
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment
GO:0043374	CD8-positive, alpha-beta T cell differentiation
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation
GO:0043379	memory T cell differentiation
GO:0043380	regulation of memory T cell differentiation
GO:0043381	negative regulation of memory T cell differentiation
GO:0043382	positive regulation of memory T cell differentiation
GO:0043383	negative T cell selection
GO:0044194	cytolytic granule
GO:0044342	type B pancreatic cell proliferation
GO:0044546	NLRP3 inflammasome complex assembly
GO:0044565	dendritic cell proliferation
GO:0045058	T cell selection
GO:0045059	positive thymic T cell selection
GO:0045060	negative thymic T cell selection
GO:0045061	thymic T cell selection
GO:0045062	extrathymic T cell selection
GO:0045063	T-helper 1 cell differentiation
GO:0045064	T-helper 2 cell differentiation
GO:0045065	cytotoxic T cell differentiation
GO:0045066	regulatory T cell differentiation
GO:0045087	innate immune response
GO:0045088	regulation of innate immune response
GO:0045089	positive regulation of innate immune response
GO:0045123	cellular extravasation
GO:0045148	tripeptide aminopeptidase activity
GO:0045190	isotype switching
GO:0045210	FasL biosynthetic process
GO:0045321	leukocyte activation
GO:0045446	endothelial cell differentiation
GO:0045575	basophil activation
GO:0045576	mast cell activation
GO:0045577	regulation of B cell differentiation
GO:0045578	negative regulation of B cell differentiation
GO:0045579	positive regulation of B cell differentiation
GO:0045580	regulation of T cell differentiation
GO:0045581	negative regulation of T cell differentiation
GO:0045582	positive regulation of T cell differentiation
GO:0045584	negative regulation of cytotoxic T cell differentiation
GO:0045585	positive regulation of cytotoxic T cell differentiation
GO:0045586	regulation of gamma-delta T cell differentiation
GO:0045588	positive regulation of gamma-delta T cell differentiation
GO:0045589	regulation of regulatory T cell differentiation
GO:0045590	negative regulation of regulatory T cell differentiation
GO:0045591	positive regulation of regulatory T cell differentiation
GO:0045619	regulation of lymphocyte differentiation
GO:0045620	negative regulation of lymphocyte differentiation
GO:0045621	positive regulation of lymphocyte differentiation
GO:0045622	regulation of T-helper cell differentiation
GO:0045623	negative regulation of T-helper cell differentiation
GO:0045624	positive regulation of T-helper cell differentiation
GO:0045625	regulation of T-helper 1 cell differentiation
GO:0045626	negative regulation of T-helper 1 cell differentiation
GO:0045627	positive regulation of T-helper 1 cell differentiation
GO:0045629	negative regulation of T-helper 2 cell differentiation
GO:0045630	positive regulation of T-helper 2 cell differentiation
GO:0045645	positive regulation of eosinophil differentiation
GO:0045650	negative regulation of macrophage differentiation
GO:0045651	positive regulation of macrophage differentiation
GO:0045655	regulation of monocyte differentiation
GO:0045656	negative regulation of monocyte differentiation
GO:0045657	positive regulation of monocyte differentiation
GO:0045659	negative regulation of neutrophil differentiation
GO:0045660	positive regulation of neutrophil differentiation
GO:0045728	respiratory burst after phagocytosis
GO:0045824	negative regulation of innate immune response
GO:0046006	regulation of activated T cell proliferation
GO:0046007	negative regulation of activated T cell proliferation
GO:0046013	regulation of T cell homeostatic proliferation
GO:0046014	negative regulation of T cell homeostatic proliferation
GO:0046469	platelet activating factor metabolic process
GO:0046629	gamma-delta T cell activation
GO:0046631	alpha-beta T cell activation
GO:0046632	alpha-beta T cell differentiation
GO:0046633	alpha-beta T cell proliferation
GO:0046635	positive regulation of alpha-beta T cell activation
GO:0046636	negative regulation of alpha-beta T cell activation
GO:0046637	regulation of alpha-beta T cell differentiation
GO:0046638	positive regulation of alpha-beta T cell differentiation
GO:0046639	negative regulation of alpha-beta T cell differentiation
GO:0046641	positive regulation of alpha-beta T cell proliferation
